timestamp,pm2.5,temperature,humidity,pressure,pm2.5_out,temperature_out,humidity_out,pressure_out
2022-01-31T10:00:00Z,44.3,21.1,47.7,993,16.1,2.21,76.89,995.61
2022-01-31T11:00:00Z,32.7,20.9,43.1,993,13.3,2.84,72.59,995.41
2022-01-31T12:00:00Z,24.7,20.9,43,993,10.1,3.13,67.17,995.15
2022-01-31T13:00:00Z,18.5,20.9,43.8,993,9.6,3.36,64.75,995.16
2022-01-31T14:00:00Z,37.8,21.4,45.1,993.2,16.4,3.14,65.48,995.32
2022-01-31T15:00:00Z,41.3,21.8,47.3,994,42.2,3.07,66.44,995.67
2022-01-31T16:00:00Z,42.5,21.9,47.8,994,50.2,2.46,67.34,995.91
2022-01-31T17:00:00Z,52.7,21.8,52.2,994,82.6,1.81,69.18,996.16
2022-01-31T18:00:00Z,48.3,22.1,50.2,994.8,52.2,1.27,70.54,996.32
2022-01-31T19:00:00Z,48,22.2,49.3,995,59.1,1.02,71.39,996.81
2022-01-31T20:00:00Z,47.3,22.2,50.8,995.4,68.5,0.89,72.93,997.27
2022-01-31T21:00:00Z,45,21.9,51.9,996,60.9,0.67,75.28,997.67
2022-01-31T22:00:00Z,41.7,21.6,52.8,996,45.2,0.67,76.79,998.11
2022-01-31T23:00:00Z,39,21.4,53,996.9,34.7,0.64,77.82,998.47
2022-02-01T00:00:00Z,34.5,21.3,53,997,25.2,0.44,76.66,998.69
2022-02-01T01:00:00Z,30.5,21.2,52,997,26.2,0.31,76.39,998.92
2022-02-01T02:00:00Z,24.7,21.1,52.4,997.8,17.2,0.14,76.98,999.17
2022-02-01T03:00:00Z,20.7,21,51,998,11.5,-0.13,77.37,999.76
2022-02-01T04:00:00Z,17.7,20.9,50,998,12.6,-0.4,78.23,1000.17
2022-02-01T05:00:00Z,16.2,21.2,50.7,998,18.4,-0.6,78.56,1000.17
2022-02-01T06:00:00Z,15.2,21.8,48.8,998.8,21.4,-0.5,78.54,1000.29
2022-02-01T07:00:00Z,15,22,47.3,999,33.2,-0.58,80,1000.67
